title,abstract,lcsh_subject_headings,Predicted_Label_Count,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,3,"1960s, Abortion, Activism, American literature, Feminist journalists, Feminist theory, Journalism, Literary criticism, Mass media and politics, Music and politics, Politics and culture, Radical feminism, Reproductive rights, Rock music criticism, Social justice, Social movements","1960,Abortion,Activism,American literature,Women journalists,Feminist theory,Journalism,Criticism, Personal, in literature,Mass media,Right and left (Political science) in music,Politics and culture,Trans-exclusionary radical feminism,Reproductive rights,Post-rock music,Social justice,Social movements",0.00,0.00,0.00,0.27,18.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,3,"American Folklife Center, Bluegrass music, Cape Breton (N.S.), Concerts, D.C., D.C.), Field recordings, Folk music, Library of Congress, Music festivals, National Council for the Traditional Arts, Neptune Plaza (Washington, Traditional arts","Lockwood House (Painesville, Ohio),Bluegrass music,Cape Breton Island (N.S.),Concerts,Friendship (Washington, D.C.),Ninety Six (S.C.),Field recordings,Folk music,Classification, Library of Congress,Music festivals,Decorative arts, Nomadic,Washington Circle (Washington, D.C.),Manners and customs in art",0.14,0.12,0.38,0.42,17.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,3,"Data visualization, Educational books, Encyclopedias, General knowledge., Infographics, Information graphics, Nonfiction books, Popular culture, Reference books, Reference works, Statistics, Trivia","Information visualization,Textbooks for older people,Encyclopedias,Necessity,Information visualization,Information visualization,Reference books,Popular culture,Reference books,Reference,Statistics,Trivia",0.00,0.00,0.00,0.27,9.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,2,"American, American Authors, American Literature, Creative Nonfiction, Essayists, Essays, Literary Criticism, Nature in Literature, Philosophy","American,Authors, American,American literature,Creative nonfiction,Essayists,Essays,Criticism, Personal, in literature,Nature in literature,Philosophy",0.00,0.00,0.00,0.48,11.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,2,"Museum administration, Museum evaluation, Museum management, Museum planning, Organizational effectiveness, Strategic planning","Museum cooperation,Museum cooperation,Museum cooperation,Museum cooperation,Organizational effectiveness,Strategic planning",0.00,0.00,0.00,0.39,3.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,3,"Art museum collections management, Art museum techniques, Artifact conservation and restoration, Collections care, Cultural heritage preservation, Cultural property registration, Museum collections management, Museum collections policy, Museum object conservation, Museum object handling, Museum registration and cataloging, Object documentation","Museum docents,Museum techniques,Preservation and restoration,Collection management,Historic preservation,Cultural property,Museum docents,Theft from museums,Museum conservation methods,Museum objects,Museum registration methods,Document Object Model (Web site development technology)",0.50,0.09,0.32,0.61,11.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,3,"Bizarre accomplishments, Extraordinary abilities, Guinness World Records, Human achievements, Human feats, Record-breaking, Record-breaking attempts, Records, Unconventional skills, Unusual abilities., World records","Special decades,Ability,World records,Questions and answers,He-Man figures,Records,First issues,Records,Soft skills,Ability,World records",0.00,0.00,0.00,0.16,8.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,3,"Anthropology, China, Colonialism, Cultural heritage, Cultural property, Ethnology, Identity (Psychology), Museum curators, Museums, Nationalism, Power (Social sciences), Social change","Anthropology,China,Colonial influence,Heritage tourism,Cultural property,Ethnology,Identity (Psychology),Museum curators,Museums,Nationalism,Power (Social sciences),Social change",1.00,0.08,0.50,0.39,12.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,4,"Behavioral economics, Cognitive psychology, Health, Human performance, Lifestyle design, Mindfulness, Nutrition, Personal finance, Popular economics, Productivity, Self-care, Self-improvement, Stress management, Time management, Wellness","Economics,Cognitive psychology,Health,Confidence,Alternative lifestyles,Mindfulness (Psychology),Nutrition,Finance, Personal,Economics,Productivity,Caring,Self-evaluation,Stress management,Time management,Health promotion",0.00,0.00,0.00,0.24,15.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,3,"Early modern Europe, European Intellectual History, History, History of science, Intellectual history, Philosophy and Ethics of Science, Politics and science, Probabilistic Reasoning, Science, Science and Culture, Science and Politics, Science and state, Scientific Methodology","15th century,European essays,History,Discoveries in science,Intellectual history,Philosophy and the life sciences,Democracy and science,Probabilism,Science,Science in popular culture,Democracy and science,Science and state,Single subject research",0.33,0.08,0.50,0.51,12.00
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's",2,"Almanacs, Almanacs for children, Children's encyclopedias and atlases, Education, Elementary, Juvenile literature, Nonfiction., Reference books, Reference works","Almanacs,Almanacs, Children's,Children's atlases,Education,Elementary works,Juvenile literature,Creative nonfiction,Reference books,Reference",1.00,0.22,0.85,0.52,9.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,2,"Academic Standards., Curriculum Development, Education, Educational Innovations, Higher Education, Humanities, Interdisciplinary Approach, Pedagogy","Academic etiquette,Curriculum change,Education,Educational innovations,Education (Higher),Humanities,Interdisciplinary research,Critical pedagogy",1.00,0.12,0.36,0.45,8.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,2,"Coincidence, Parapsychology, Probability, Psychology and philosophy of probability, Statistical probability, Synchronicity","Coincidence,Parapsychology,Probabilities,Comparison (Psychology),Probabilities,Synchronization",0.50,0.20,0.50,0.38,5.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,2,"Children's nonfiction books., Educational activities, Educational games, Encyclopedias, Interdisciplinary approach in education, Juvenile, Juvenile literature, Reference works, Science education","Children's books,Student activities,Educational games,Encyclopedias,Interdisciplinary approach in education,Juvenile,Juvenile literature,Reference,Science teachers",0.00,0.00,0.00,0.36,9.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,4,"Autonomy (Philosophy), Critical theory, Cultural values, Education and technology, Education and technology., Environmental humanities, Humanism, Humanities, Literary theory, Nature (Philosophy), Philosophy and technology, Postmodernism, Poststructuralism, Technological advancements, Technology and society","Autonomy (Philosophy),Critical theory,Cultural rights,High technology and education,High technology and education,Human ecology and the humanities,Humanism,Humanities,Time in literature,Philosophy of nature,Philosophy and cognitive science,Postmodernism,Poststructuralism,Technological innovations,Technology and older people",0.25,0.07,0.27,0.49,14.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,2,"Art museums, Cultural institutions, Massachusetts, Museology, Museum curators, Museums, Travel","Art museums,Cultural relations,Massachusetts,Museum studies,Museum curators,Museums,Travel",1.00,0.14,1.00,0.66,7.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,4,"Civic engagement, Cultural heritage, Cultural policy, Heritage conservation, Identity (Psychology), Museums, Nationalism, Patriotism, Place (Philosophy), Public spaces, Rhetoric, Symbolic expression, Urban planning and culture","Civic improvement,Heritage tourism,Cultural policy,Heritage tourism,Identity (Psychology),Museums,Nationalism,Patriotism,Place (Philosophy),Public spaces,Rhetoric,Symbolic representation,City planning",0.60,0.25,0.91,0.54,12.00
