title,abstract,lcsh_subject_headings,Predicted_Label_Count,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,3,"20th century history, 21st century history, Abortion, American culture, American politics, American society, American society and culture, American writers, Class and social status, Counterculture, Criticism, Cultural politics, Cultural studies, Drugs and society, Feminism, Feminist theory, Feminist writers, Intellectual history, Journalism, Liberation movements, Literary criticism, Media studies, Music and society, Politics and culture, Politics and culture., Politics and literature, Popular culture, Pornography, Racism, Radical politics, Religion and politics, Rock music criticism, Sexuality, Social and political thought, Social change, Social movements, Terrorism, Transcend, United States, War and society, Women's liberation movement, Women's rights, etc., interpretation","20th century,Twentieth century,Abortion,American Dream,Political activity,Participation, American,American influences,Novelists, American,Social status,Counterculture,Criticism,Politics and culture,Cross-cultural studies,Drugs and sex,Feminism,Feminist theory,Feminist authors,Intellectual history,Journalism,National liberation movements,Criticism, Personal, in literature,Mass media and education,Music, Influence of,Politics and culture,Politics and culture,Politics and literature,Popular culture,Pornography,Racism,Radicalism,Religion and politics,Post-rock music,Sexual orientation,Political and social views,Social change,Social movements,Terrorism,Transcendence (Philosophy),United States,War and society,Gay liberation movement,Women's rights,Small orders,Interpretation",0.00,0.00,0.00,0.26,45.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,3,"1987, Afghanistan, American Folklife Center, Andean music, Bluegrass music, Cape Breton (N.S.), Cape Breton fiddle music, Concerts, Ethnic music, Folk music, Folk music festivals, Gaelic dance, Gaelic music, Iran, Latin American music, Library of Congress, Live sound recordings, Multicultural music, Music festivals, National Council for the Traditional Arts, Neptune Plaza Concert Series, Nova Scotia, Nova Scotia music, Outdoor concerts, Pan flute music, Pan music, Public performances, Steel band, Steel band music, Steel drums, Thomas Jefferson Building, Traditional music, Washington D.C. events., Washington D.C. music","1987-,Afghanistan,Lockwood House (Painesville, Ohio),Songs, Rarotongan,Bluegrass music,Cape Breton Island (N.S.),Fiddle tunes,Concerts,Ethnicity in music,Folk music,Folk music festivals,Gaelic games,Songs, Scottish Gaelic,Iran,Latin pop (Music),Classification, Library of Congress,Live sound recordings,Music in intercultural communication,Music festivals,Decorative arts, Nomadic,Concert tours,Nova Scotia,National music,Outdoor concert facilities,Flute music,Cornet music (Jazz),Performances,Steel band music,Steel band music,Steel drum music,Whittall Pavilion (Library of Congress Thomas Jefferson Building, Washington, D.C.),Accompaniments (Music),Washington (D.C.),Music and state",0.21,0.08,0.28,0.52,39.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,3,"Academic resources, Culture, Education, Educational databases, Educational materials, Educational resources, Educational tools, Encyclopedias, Facts, Facts on file., General knowledge, History, Information resources, Informative resources, Knowledge, Learning materials, Learning resources, Natural history, Nonfiction, Reference books, Reference works, Research, Science, Statistics, Study aids, Trivia","Open educational resources,Culture,Education,Educational Web sites,Instructional materials,Open educational resources,Educational applications,Encyclopedias,Claims,Information overload,Knowledge, Theory of,History,Information resources,Information resources,Knowledge and learning,Instructional materials,Information resources,Natural history,Creative nonfiction,Reference books,Reference,Research,Science,Statistics,Aids and devices,Trivia",0.00,0.00,0.00,0.25,23.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,2,"Aging, American authors, American essays, American literature, American., Authors, Autobiographical accounts, Autobiographical fiction, Creative nonfiction, Essays, Existentialism, Geography, Human nature, Humanism, Humor, Intellectual life, Landscape, Literary essays, Memoirists, Memoirs, Mortality, Nature, Nature writing, Personal, Personal narratives, Personal narratives., Place, Prose literature, Reflections, Satire, Self-discovery, Wit and humor, Writers' voices, Writing, Writing style","Aging,Authors, American,American essays,American literature,American,Authors,Personal narratives,Autobiographical fiction,Creative nonfiction,Essays,Existentialism,Geography,Self-interest,Humanism,Humor,Intellectual life,Landscape changes,Time in literature,Blind authors,Book of life,Mortality,Nature,Nature writers,Dating,Personal narratives,Personal narratives,Home,Prose literature,Reflections,Satire,Learning by discovery,Wit and humor,Voice in literature,Writing,Typewriting, One-hand",0.50,0.06,0.33,0.48,33.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,2,"Arts administration, Arts management, Change management, Continuous improvement, Cultural institutions, Cultural management, Institutional assessment, Museum accountability, Museum administration, Museum education, Museum effectiveness, Museum evaluation, Museum governance, Museum innovation., Museum leadership, Museum management, Museum planning, Museum strategy, Museums, Nonprofit management, Nonprofit organizations, Organizational change, Organizational development, Organizational learning, Performance measurement, Program evaluation, Strategic planning, Sustainability in museums","Arts administrators,Arts administrators,Issues management,Continuous improvement process,Cultural relations,Cultural control,Associations, institutions, etc,Museum cooperation,Museum cooperation,Schools of museum studies,Museum cooperation,Museum cooperation,Museum cooperation,Museum cooperation,Museum directors,Museum cooperation,Museum cooperation,Museum cooperation,Museums,Nonprofit organizations,Nonprofit organizations,Organizational change,Organizational effectiveness,Organizational learning,Specific performance,Twelve-step programs,Strategic planning,For-profit museums",0.50,0.05,0.23,0.40,20.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,3,"Art conservation, Artifact conservation, Artifact handling, Artifact marking, Artifact measurement, Artifact movement, Artifact preservation, Artifact storage, Collection management, Cultural heritage preservation, Cultural property, Cultural property acquisition, Cultural property conservation, Cultural property preservation, Cultural property restoration, Deaccessioning, Exhibition installation, Exhibition management, Heritage conservation, Heritage preservation, Institution management, Inventory management, Loan exhibitions, Loan procedures, Museum acquisition, Museum administration, Museum collection development, Museum collection management, Museum collections, Museum conservation, Museum exhibit design, Museum exhibit installation, Museum exhibit maintenance, Museum exhibit management, Museum exhibit planning, Museum exhibit restoration, Museum exhibit storage, Museum exhibit treatment, Museum exhibit ventilation, Museum object conservation, Museum registration, Museums, etc., manuals","Environmental protection in art,Restoration and conservation,Perforating system,Markings,Physical measurements,Metafiction,Preservation and restoration,Preservation metadata,Collection management,Historic preservation,Cultural property,Cultural property,Cultural property,Cultural property,Cultural property,Deaccessioning,Designs and plans,Exhibition techniques,Heritage tourism,Historic preservation,University autonomy,Inventory control,Museum loans,Variable rate loans,Museum cooperation,Museum cooperation,Museum studies,Museum docents,Museum archives,Museum conservation methods,Museum exhibits,Museum exhibits,Museum exhibits,Museum exhibits,Museum exhibits,Museum exhibits,Museum exhibits,Museum exhibits,Museum exhibits,Museum conservation methods,Museum registration methods,Museums,Small orders,Amateurs' manuals",1.00,0.07,0.28,0.45,29.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,3,"Amazing people, Amazing records, Amusing stories, Bizarre performances, Bizarre records, Curious facts, Curious records, Eccentricity, Extraordinary abilities, Extraordinary people, Freak shows, Guinness World Records, Human accomplishments, Human achievements, Human feats, Human interest, Human interest stories, Human performances, Human record holders, Human stunts, Oddities, Record breakers, Record breaking, Record breaking achievements., Record holders, Record setting, Recreation, Strange abilities, Surprising achievements, Talent shows, Unconventional skills, Unique talents, Unusual abilities, Unusual hobbies, Unusual occupations, Unusual skills, World records","Worry,Records,Humorous stories,First performances,Records,Rumor,Records,Eccentrics and eccentricities,Ability,Persons,Freak shows,World records,Personality and history,Questions and answers,He-Man figures,Self-interest,Short stories,One-person shows (Performing arts),Record changers,Tricksters in motion pictures,Suspicion,Records,Records,Records,Records,Recording and registration,Recreation,Ability,Great powers,Talent shows,Soft skills,Project Talent,Ability,Hobbies,Occupations,Soft skills,World records",0.00,0.00,0.00,0.17,27.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,3,"Anthropology, China, Colonialism, Cultural, Cultural Policy, Cultural Property, Cultural heritage, Cultural imperialism, Cultural institutions, Cultural policy, Cultural preservation, Cultural representation, Economic influence, Ethnic identity, Ethnology, Governance, Heritage management, Historical preservation, Identity politics, Imperialism, Museology, Museum curatorship, Museum management, Museums, Nationalism, Power (Social Sciences), Social change, Social control, Social segmentation, State power, Westernization","Anthropology,China,Colonial influence,Culture,Cultural policy,Cultural property,Heritage tourism,Imperialism in popular culture,Cultural relations,Cultural policy,Cultural rights,Cultural intelligence,Economic development,Ethnic identity,Ethnology,Corporate governance,Heritage tourism,Historic preservation,Identity politics,Imperialism,Museum studies,Museum curators,Museum cooperation,Museums,Nationalism,Power (Social sciences),Social change,Social control,Social prediction,Failed states,Western civilization",1.00,0.03,0.21,0.35,29.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,4,"Alternative medicine, Behavioral finance, Brain development, Budgeting, Business productivity, Career development, Cognitive function, Emotional intelligence, Entrepreneurship, Financial freedom, Financial independence, Financial literacy, Financial planning, Financial security, Goal achievement, Goal setting, Happiness, Health and wellness, Health promotion, Health psychology, Investment, Life coaching, Life skills, Lifestyle changes, Mental health, Mind-body relations, Mindfulness, Money management, Motivation, Nutrition and health, Personal development, Personal finance, Personal growth, Popular culture, Productivity, Productivity techniques, Resilience, Retirement planning, Savings, Self-care, Self-discipline, Self-improvement, Spending habits, Stress management, Success strategies, Time management, Wealth creation, Wealth management, Wellness","Alternative medicine,Benefit theory,Minimal brain dysfunction,Budget,Productivity,Career development,Cognitive consistency,Emotional intelligence,Entrepreneurship,Financial risk,Financial exclusion,Financial literacy,Financial applications,Financial security,Achievement motivation,Standing position,Happiness,Health promotion,Health promotion,Health behavior,Investments,Personal coaching,Life skills,Alternative lifestyles,Mental health,Mind and body,Mindfulness (Psychology),Cash management,Motivation (Psychology),Nutrition,Affective education,Finance, Personal,Growth,Popular culture,Productivity,Productivity,Awareness,Retirement, Mandatory,Saving and investment,Caring,Mental discipline,Self-evaluation,Necessity,Stress management,Effectiveness,Time management,Wealth,Wealth,Health promotion",0.00,0.00,0.00,0.21,46.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,3,"17th century, 18th century, Academic politics, Collaborative research, Cultural studies, Desiderata, Enlightenment, Europe, European history, Historiography., History, History of science, Institutional history, Intellectual history, Interdisciplinary research, Knowledge, Modernity, Patronage, Philosophy of science, Politics and culture, Politics and science, Probabilistic reasoning, Research and development, Research funding, Research methodology, Science and politics, Science and society, Scientific method, Scientific research, Scientific revolution, Social change, Theory of, Wish lists","17th century,18th century,Academic freedom,Research,Cross-cultural studies,Tetraplasandra,Enlightenment,Europe,European essays,Historiography,History,Discoveries in science,Institutional cooperation,Intellectual history,Interdisciplinary research,Knowledge and learning,Amateurism,Patronage, Political,Philosophy and science,Politics and culture,Democracy and science,Probabilism,Research and development projects,Research grants,Methodology,Democracy and science,Science,Observation (Scientific method),Research,Discoveries in science,Social change,Theory,Want lists",0.33,0.03,0.27,0.41,31.00
