title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,feminist theory; women journalists; journalism; mass media; social change; civil rights movements; women's rights; african americans; minorities; racism; sexism; sexual behavior; gender identity; sexuality; violence against women; rape victims; child abuse; children; family policy; marriage; divorce; employment discrimination; labor laws and legislation; poverty; welfare recipients; education; higher education and state; universities and colleges; college students; student movements; peace movements; anti-war demonstrations; protest movements; pac,"Feminist theory,Women journalists,Journalism,Mass media,Social change,Civil rights movements,Women's rights,African Americans,Minorities,Racism,Sexism,Sexual behavior,Gender identity,Sexual orientation,Violence in women,Rape victims,Child abuse,Children,Family policy,Marriage,Divorce,Discrimination in employment,Labor laws and legislation,Poverty,Welfare recipients,Education,Higher education and state,Universities and colleges,College students,Student movements,Peace movements,Anti-war demonstrations,Protest movements,Paca",0.00,0.00,0.00,0.22,34.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,folk festivals; folk dancing; blue grass music; capella singing; steel bands; gospel music; panpipes; instrumental ensembles; musicians; festival audiences; folklore archives; manuscripts; sound recordings; photograph collections; slide collections; concerts; musical events; cultural festivals; social life and customs; performing arts; popular culture; world music; americana; african diasporic traditions; greek tradition; middle eastern studies; south asian studies; latin america; newfoundland and labrador; cape bre,"Folk festivals,Folk dancing,Blues-rock music,A cappella . . .,Steel bands (Music),Gospel music,Panpipes,Instrumental ensembles,Musicians,Festivals,Folklore archives,Manuscripts,Sound recordings,Photograph collections,Slide collections,Concerts,Musical films,Festivals,Social life and customs,Performing arts,Popular culture,World music,Americana,Pan-Africanism,Modern Greek,Middle Eastern influences,South Asian influences,Latin America,Newfoundland and Labrador,Esperance, Cape",0.14,0.07,0.40,0.52,30.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,general knowledge; information storage and retrieval systems; reference books; children's questions and answers; picture dictionaries English language; english language -- vocabulary; english language -- idiomatic expressions; english language -- errors of usage; reading comprehension; critical thinking; problem solving; learning ability; intelligence tests; cognitive styles; education; educational psychology; child development; gifted children; high school students; teenagers; youth; popular culture; mass media; internet; social networks; blogs; web sites; online social networks; electronic,"Knowledge, Theory of,Information storage and retrieval systems,Reference books,Children's questions and answers,Picture dictionaries, English,Vocabulary,Idioms,Errors of usage,Reading comprehension,Critical thinking,Problem solving,Learning ability,Intelligence tests,Cognitive styles,Education,Educational psychology,Child development,Gifted children,High school students,Teenagers,Youth,Popular culture,Mass media,Internet,Social networks,Blogs,Web sites,Online social networks,Electronics",0.00,0.00,0.00,0.23,31.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,authors; essayists; american literature; english language; creative nonfiction; humor; literary form; life change events; aging parents; death; grief; middle age; marriage; love; friendship; family relationships; children; parenting; fathers and sons; mothers and daughters; women; men; sex role; gender identity; masculinity; femininity; sexual orientation; homosexuality; gay men; lesbians; social classes; poverty; homeless persons; happiness; optimism; pessimism; hope; despair; depression,"Authors,Essayists,American literature,English language,Creative nonfiction,Humor,Literary form,Life change events,Aging parents,Death,Grief,Middle age,Marriage,Love,Friendship,Family relationships,Children,Parenting,Fathers and sons,Mothers and daughters,Women,Men,Sex role,Gender identity,Masculinity,Femininity,Sexual orientation,Homosexuality,Gay men,Lesbians,Social classes,Poverty,Homeless persons,Happiness,Optimism,Pessimism,Hope,Despair,Depression, Mental",0.00,0.00,0.00,0.40,40.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,museum techniques; museology; museum administration; cultural property -- conservation and restoration; art objects -- collection management; museum curators; museum personnel; museum visitors; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums;,"Museum techniques,Museum studies,Museum registrars,Cultural property,Tables in art,Museum curators,Museum curators,Museum visitors,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Change",0.50,0.11,1.00,0.66,9.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,"museums; museology; art objects; artifacts; cultural property; collecting of antiquities; provenance (art); antiques dealers; stolen works of art; thefts; crime prevention; crimes against persons; criminal investigation; forensic sciences; evidence, criminal; security systems; museum techniques; museum practice; museum management; museum administration; curators; museum personnel; museum employees; museum exhibits; museum collections; museum acquisitions; museum conservation and restoration; museum storage facilities; museum buildings; museum services;","Museums,Museum studies,Art objects,Alien artifacts,Cultural property,Antiquities,Provenance,Antique dealers,Thieves in art,Theft,Crime prevention,Crimes against,Criminal investigation,Forensic sciences,Evidence, Criminal,Security systems,Museum techniques,Museum studies,Museum cooperation,Museum registrars,Curatorship,Museum curators,Volunteer workers in museums,Museum exhibits,Museum archives,Museum loans,Museum conservation methods,Museum storage facilities,Museum buildings,Museum attendance,Change",0.50,0.03,0.63,0.54,31.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,record books; human beings; unusual occurrences in history; freaks and freak shows; curiosities and wonders; strange customs; eccentricity; oddities and anomalies; weirdness; bizarre behavior; abnormal psychology; social norms; deviant behavior; unconventional behavior; extreme sports; adventure and adventurers; daredevils; thrill-seeking activities; stunts; acrobats; circus performers; juggling; jugglers; fire-eaters; clowns; clowning; pranks; practical jokes,"Reference editions,Human beings,Psychohistory,Freak shows,Curiosities and wonders,Sex customs,Eccentrics and eccentricities,Anomalies,Coincidence,Humiliation,Personality disorders,Social norms,Deviant behavior,Self-defeating behavior,Extreme sports,Adventure and adventurers,Daredevils,Recreational activities,Tricks,Acrobats,Circus performers,Juggling,Jugglers,Poachers,Clowns,Clowning,Overdoors,Practical jokes",1.00,0.04,0.21,0.19,28.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"museums; collecting of art; culture diffusion; civilization, ancient; national characteristics, chinese; identity politics; public opinion -- china; mass media and society; communication in politics; globalization; postcolonialism; museums and community; museums and education; museums and race relations; museums and minorities; museums and women; museums and children; museums and youth; museums and people with disabilities; museums and older adults; museums and religion; museums and government policy; museums and sociology; museums and anthropology; museums","Museums,Art works,Culture diffusion,Civilization, Ancient,National characteristics, Chinese,Identity politics,Beijing style,Time in mass media,Communication in politics,Globalization,Postcolonialism,Museums and community,Museums and schools,Museums and minorities,Museums and minorities,Museums and women,Museums and children,Museums and teenagers,Museums and people with disabilities,Museums and older people,Museums and scholars,For-profit museums,Museums and social media,Anthropological museums and collections,Museums",1.00,0.04,0.63,0.55,25.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"popular culture; human body; self-help techniques; success; happiness; life skills; motivation (psychology); psychology, applied; consumer behavior; marketing; advertising; business ethics; finance, personal; investments; stock exchanges; financial crises; medical economics; medicine; alternative medicine; mental illness; depression; stress management; mind-body relations; physical fitness; diet therapy; nutrition; weight loss programs; exercise; obesity; aging; death; grief; bereavement; funerals; funeral rites and","Popular culture,Human body,Self-help techniques,Success,Happiness,Life skills,Motivation (Psychology),Psychology, Applied,Consumer behavior,Marketing,Advertising,Business ethics,Finance, Personal,Investments,Stock exchanges,Financial crises,Medical economics,Medicine,Alternative medicine,Mental illness,Depression, Mental,Stress management,Mind and body,Physical fitness,Diet therapy,Nutrition,Head Start programs,Exercise,Obesity,Aging,Death,Grief,Bereavement,Funeral service,Funeral rites and ceremonies",0.00,0.00,0.00,0.21,38.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"natural history; philosophy of nature; probability theory; politics and culture; intellectual life; civilization, western; social change; rationalism; empiricism; liberalism; capitalism; democracy; enlightenment; reason; religion and science; religious institutions; christianity and other religions; protestant churches; church and state; civil rights movements; freedom of speech; free trade; liberty; individualism; education; universities and colleges; arts and society; literature publishing; book industries and trade; printing; booksellers'","Natural history,Philosophy of nature,Probabilities,Politics and culture,Intellectual life,Civilization, Western,Social change,Rationalism,Empiricism,Liberalism,Capitalism,Democracy,Enlightenment,Reason,Religion and science,Religious institutions,Christianity and other religions,Protestant churches,Church and state,Civil rights movements,Freedom of speech,Free trade,Liberty,Individualism,Education,Universities and colleges,Arts and society,Literature publishing,Book industries and trade,Printing,Booksellers and bookselling",0.00,0.00,0.00,0.34,32.00
