title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"Feminism,Political culture,Drugs,Social movements,Politics and culture,Ellen,War and society,Feminist theory,Women essayists,American essays,Pornography,Social justice,Religion and culture,Social criticism,Counterculture,Abortion,Music critics,Radicalism,Sex role,Willis,Popular culture,Cultural criticism,Rock music","Feminism,Political culture,Drugs,Social movements,Politics and culture,Authors, Even,War and society,Feminist theory,Essayists,American essays,Pornography,Social justice,Religion and culture,Social satire,Counterculture,Abortion,Music critics,Radicalism,Sex role,Willis Wall,Popular culture,Guilt and culture,Rock music",1.00,0.04,0.28,0.28,23.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,"Folk dancing,National Council for the Traditional Arts (U.S.),Steel band music,Field recordings,Bluegrass music,Gospel music,Sound recordings,Concerts,Photographs,Slides (Photography),Concert series,Library of Congress. Thomas Jefferson Building,Folk music,Manuscripts,American Folklife Center","Folk dancing,Arts, Surinamese,Steel band music,Field recordings,Bluegrass music,Gospel music,Sound recordings,Concerts,Photographs,Slides (Photography),Concerts,Library of Congress Thomas Jefferson Building (Washington, D.C.),Folk music,Manuscripts,Lockwood House (Painesville, Ohio)",0.36,0.33,0.73,0.60,15.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,"Statistics,Visual communication,Encyclopedias and dictionaries,diagrams,History,Interdisciplinary approach to knowledge,Trivia and miscellanea,Natural history,Science,etc.,Curiosities and wonders,Information visualization,Illustrated books","Statistics,Visual communication,Encyclopedias and dictionaries,Logic diagrams,History,Interdisciplinary approach to knowledge,Miscellanea,Natural history,Science,Shorts (Clothing),Curiosities and wonders,Information visualization,Illustrated books",0.50,0.08,0.32,0.31,13.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,"Creative nonfiction,Philosophical anthropology,Reflection (Philosophy),Intertextuality,Popular culture,Literature,Intellectual life,Wandering in literature,Human beings in literature,Death in literature,Nature in literature,American essays,Essays,Folly,Authorship","Creative nonfiction,Philosophical anthropology,Reflection (Philosophy),Intertextuality,Popular culture,Literature,Intellectual life,Walking in literature,Human beings in literature,Death in literature,Nature in literature,American essays,Essays,Folly,Authorship",0.00,0.00,0.00,0.46,15.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,"Museum techniques,Strategic planning,Organizational alignment,Performance technology,Institutional effectiveness,Organizational effectiveness,Organizational change,Museum exhibits,Administrative agencies,Management,Museums,Performance,Cultural institutions,Program evaluation,Museum administration,Nonprofit organizations","Museum techniques,Strategic planning,Comparative organization,Performance technology,Institutional economics,Organizational effectiveness,Organizational change,Museum exhibits,Administrative agencies,Management,Museums,Performance,Cultural policy,Twelve-step programs,Museum registrars,Nonprofit organizations",0.50,0.06,0.30,0.42,16.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,"Museum techniques,Museum storage methods,Cultural property,Museum exhibits,Museum objects,Museum curators,Museums,etc.,Museum conservation methods,Museum registration and accession,manuals,Museum archives","Museum techniques,Museum storage facilities,Cultural property,Museum exhibits,Museum objects,Museum curators,Museums,Shorts (Clothing),Museum conservation methods,Museum registration methods,Technical manuals,Museum archives",0.50,0.08,0.30,0.68,12.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,"Competition (Psychology),Popular culture,Trivia and miscellanea,World records,Achievements,Curiosities and wonders,Eccentrics and eccentricities,Human behavior","Competition (Psychology),Popular culture,Miscellanea,World records,Progress,Curiosities and wonders,Eccentrics and eccentricities,Human behavior",1.00,0.12,0.33,0.28,8.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"Cultural property,Anthropology and history,Ethnicity,Heritage tourism,Museology,Governmentality,Stakeholder management,Religion and politics,Nationalism,Ideology,Imperialism,Westernization,Postcolonialism,East and West,Museum curators,Social stratification,Museums,Historiography,Power (Social sciences),Missions,China","Cultural property,Anthropology and history,Ethnicity,Heritage tourism,Museum studies,Public policy,Stakeholder management,Religion and politics,Nationalism,Ideology,Imperialism,Western civilization,Postcolonialism,East and West,Museum curators,Social stratification,Museums,Historiography,Power (Social sciences),Missions,China",1.00,0.05,0.24,0.34,21.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"Curiosities and wonders,Finance,History,Trivia and miscellanea,Self-care,Personal,Medicine,Science,Health behavior,Discoveries in science,Interdisciplinary research,Health,Success,Wealth,Life skills","Curiosities and wonders,Finance,History,Miscellanea,Caring,Honesty,Medicine,Science,Health behavior,Discoveries in science,Interdisciplinary research,Health,Success,Wealth,Life skills",0.50,0.07,0.32,0.34,15.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"Social epistemology,Political sociology,Intellectual life,Probabilities,Political science,Science,Communication in learning and scholarship,Knowledge,Sixteenth century,Modernity,Humanism,Research,Science and state,Reasoning,Learning and scholarship,Eighteenth century,Interdisciplinary research,Seventeenth century,Theory of","Social epistemology,Political sociology,Intellectual life,Probabilities,Political science,Science,Communication in learning and scholarship,Knowledge and learning,Sixteenth century,Post-modern . . .,Humanism,Research,Science and state,Reasoning,Learning and scholarship,Eighteenth century,Interdisciplinary research,Seventeenth century,Theory",1.00,0.16,0.38,0.50,19.00
