title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"Feminism, Rock music--History and criticism, Popular culture--United States, Women's rights--United States, Social movements--United States, Cultural criticism, Political culture--United States, Willis, Ellen--Criticism and interpretation, Journalism--United States--History--20th century, Journalism--United States--History--21st century","Feminism,Classicism in music,Popular culture,Women's rights,Social movements,Guilt and culture,Political culture,Willis Wall,Destry, Ellen (Fictitious character),Journalism and public relations,Social media and journalism",0.00,0.00,0.00,0.25,12.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,"Bluegrass music, Folk music, Traditional music, World music, Sound recordings, Photographs, Slides (Photography), Concerts, American Folklife Center, National Council for the Traditional Arts, Library of Congress, Thomas Jefferson Building, Neptune Plaza, Cape Breton music, Afghan music, Iranian music, Steel band music, Gospel music, Pan-Andean music, Live sound recordings, Outdoor concerts, Folk dance music, Cultural documentation","Bluegrass music,Folk music,Modern dance music,World music,Sound recordings,Photographs,Slides (Photography),Concerts,Lockwood House (Painesville, Ohio),Arts, Surinamese,Classification, Library of Congress,Library of Congress Thomas Jefferson Building (Washington, D.C.),Neptune Beach,Songs, Breton,Band-i Darūntah (Afghanistan),Songs, Persian,Steel band music,Gospel music,Dulcian music,Live sound recordings,Outdoor concert facilities,Folk dance music,Cross-cultural studies",0.29,0.14,0.53,0.51,28.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,"Encyclopedias and dictionaries, Science—Miscellanea, History—Miscellanea, Natural history—Miscellanea, Culture—Miscellanea, Information visualization, Trivia and miscellanea","Encyclopedias and dictionaries,Sciara ocellaris,Didemnum vexillum,Seleucia on the Tigris (Extinct city),Cucuteni-Trypillia culture,Information visualization,Miscellanea",0.00,0.00,0.00,0.23,7.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,"Essays, Nature, Writing, Mortality, Human behavior, Prose literature, Intertextuality, Authorship, Literature and society, Literary style","Essays,Nature,Writing,Mortality,Human behavior,Prose literature,Intertextuality,Authorship,Literature and society,Literary style",0.50,0.20,0.57,0.60,10.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,"Museums—Management, Museums—Planning, Museums—Evaluation, Strategic planning, Organizational effectiveness, Museum techniques, Cultural institutions—Management","For-profit museums,Small museums,Museum exhibits,Strategic planning,Organizational effectiveness,Museum techniques,Cultural industries",0.00,0.00,0.00,0.60,7.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,"Museums—Collection management, Museums—Registration methods, Museum techniques, Art objects—Conservation and restoration, Cultural property—Protection, Museum exhibits—Design and construction, Museum storage methods, Art—Handling, Museum curatorship, Museum registration—Study and teaching","For-profit museums,Museum registration methods,Museum techniques,Found objects (Art),Cultural property,Museum exhibits,Museum storage facilities,Conversion in art,Museum curators,Museum registration methods",0.50,0.11,0.63,0.68,9.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,"World records, Curiosities and wonders, Human achievements, Guinness World Records, Popular culture, Trivia and miscellanea, Human behavior, Anecdotes, Social history, Amusements.","World records,Curiosities and wonders,Awareness,World records,Popular culture,Miscellanea,Human behavior,Anecdotes,Social history,Amusements",1.00,0.11,0.36,0.31,9.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"Museums--China--History, Museums--Political aspects--China, Museums--Social aspects--China, Cultural property--China--Management, Nationalism and collective memory--China, Anthropology--China, Heritage management--China, Colonialism--China, Westernization--China, Ethnic identity--China, Social stratification--China, Museology--China, Museum curators--China, Historical museums--China, Ethnological museums and collections--China","Jingjiang wang Tombs (China),Public sculpture, Chinese,Museums and social media,Chinese property,Chinese reunification question, 1949-,First contact (Anthropology),Cheng shi zu ji guan (Expo, International Exhibitions Bureau, 2010, Shanghai, China),Qing wang fu (Tianjin, China),Chinese and Western,Chinese diaspora,National characteristics, Chinese,Museum docents,Art museum curators,Jingjiang wang Tombs (China),Ethnological museums and collections",0.00,0.00,0.00,0.36,20.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"Self-help literature, Health, Science, History, Wealth, Personal finance, Popular science, Human body, Human physiology, Cognitive science, Success, Life skills, Well-being, Popular culture, Curiosities and wonders.","Social service literature,Health,Science,History,Wealth,Finance, Personal,Discoveries in science,Human body,Human physiology,Cognitive science,Success,Life skills,Well-being,Popular culture,Curiosities and wonders",0.50,0.06,0.28,0.33,16.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"Knowledge, Theory of—History, Science—History—16th century, Science—History—17th century, Science—History—18th century, Political science—History, Probabilities—History, Europe—Intellectual life—16th century, Europe—Intellectual life—17th century, Europe—Intellectual life—18th century, Science and state—History, Knowledge, Sociology of—History, Research—History, Intellectual life—History, Modernity—History, Desiderata—History, Collaborative research—History.","Knowledge and learning,Semantics, Historical,Period of discoveries, 1385-1580,Historians of science,Fifth century, A.D.,Right and left (Political science),1282-1870,East European philology,European essays,Dadaist literature, East European,Science and state,Knowledge and learning,Historical sociology,Reproducible research,Intellectual history,History, Modern,Artaxata (Extinct city),Community-based research",0.00,0.00,0.00,0.35,22.00
